,sentiment,vi_review
134,positive,ôi cưng đi 💖 💖 💖 💖 💖
135,positive,ghép cưng
136,positive,yêu 🥰
137,positive,cưng
138,positive,non cung nha 😅 😳
139,positive,hoàng oanh ng y neh
140,positive,cưng ghê
141,positive,dể thương
142,positive,hài vãi :))))
143,positive,mặt cưng ghê
144,positive,cười sủi
145,positive,mặt cưng 😁
146,positive,cung xỉu
147,positive,chuẩn nha
148,positive,dễ thương ghê
149,positive,ôi trời trời chết trời đất 😂 😂 😂 😂 😂
150,positive,tiếu lâm
151,positive,rễ thương
152,positive,cam on b
153,positive,cưng ❤ ️ 💕 💕 💕
154,positive,chèn cưng xỉu 💓 💓
155,positive,cưng 😄
156,positive,🤣 🤣 🤣 🤣 🤣 yêu .
157,positive,yêu ❤ ❤ ❤ 😁 😁 😁
158,positive,😂 😂 😂 hahaha cưng
159,positive,tải video
160,positive,bé dễ thương
161,positive,iu đi
162,positive,dep 😆 😆 😆 😆
163,positive,dễ thương
164,positive,"tuyệt , iu , iu pam"
165,positive,yêu
166,positive,🌹 ❤ ️ ❤ ️ 😂 😂 😂 dễ thương ❤ ❤ ❤
167,positive,"thương ghê , iu"
168,positive,", iu nhìu nhìu pam nhá"
169,positive,cưng .
170,positive,thuong
171,positive,😂 😂 😂 😂 cute
172,positive,k iu <3
173,positive,good job little one 👍 😁
174,positive,very cute
175,positive,"soo cute 💕 , iu"
176,positive,chết cười
177,positive,gái mặt tỉnh tỉnh gái 🥰
178,positive,đẻ găp đc e 🤣 🤣 ngag đau tien tù viec phạm nhân vao zj 🤣 🤣 mé quê nín hêt lam
179,positive,kkk xíu 😂 😂 😂
180,positive,😜 😜 hài thiệt 😝 nh
181,positive,k nhịn dk cười 😂
182,positive,kakak 🤣
183,positive,hài miền bắc bọt ... 2 ô hài vãi . nhìu kịch bản .
184,positive,lắm nè
185,positive,bó tay gái mắt sáng rực
186,positive,diễn biến tâm lý gọi là .. 🤩 🤩
187,positive,mải gái cường mấy lít máu
188,positive,cười sảng 😂
189,positive,mặt cười
190,positive,"tiền rượu đệ tử , tiền rượu 😂 😂 😂"
191,positive,thua 😂
192,positive,kakaka 😂 😂 😂 . lắm . video hài hước giải trí . 🌟 ✍ ️ 🔃 👈
193,positive,tắm rượu thay bộ quần áo trắng tinh nhá 😁 😂
194,positive,lầy
195,positive,chết 😂 😂 😂
196,positive,a tỉnh nhank thía 😂 😂 😂 sợ goy hả 😂 😂 😂
197,positive,hút quánhân_viên_làm_thêm_tại_nhà88
198,positive,kkkk chết nội
199,positive,hài hước yêu
200,positive,máu gái
201,positive,🙏 2 thánh 🤣 🤣 🤣 🤣
202,positive,mặt coi cưới chết 😂
203,positive,ôi trời gái sợ chít thuốc 😂 😂 😂 😂
204,positive,hôm nay sỹ sơn bệnh nhân cường 😂 😂
205,positive,chết cười sơn 😂 😂
206,positive,mặt bé xinh
207,positive,gái sáng mắt
208,positive,chết cười 👴
209,positive,gái xinh đau 🤣
210,positive,"đoạn đầu , đoạn ko lm vk thất vọng"
211,positive,hai mặt buồn cười
212,positive,🍀 𝐂ậu út 🐒 gái ht đau 🤣 🤣
213,positive,😂 😂 😂 oi trời
214,positive,cười đau ruột 2 😁 😁 😁
215,positive,cười sái quai hàm . kkk
216,positive,vui gớm
217,positive,cười sặc 😂 😂 😂 😂
218,positive,😁 😁 😅 😅 😅 ôi trời sơn
219,positive,🤣 cười tỉnh ngủ lun
220,positive,củng sợ
221,positive,khoái khoái
222,positive,hoàn hảo 🤣 🤣 🤣 🤣 🤣 🤣
223,positive,ối giời ôi gái xunh
224,positive,😁 😁 lạy hai cụ
225,positive,cười bể bụng 2 thánh hài
226,positive,máu tận 3 p 😂 😂 😂 😂
227,positive,sợ
228,positive,cười vỡ bụng 😂
229,positive,sơn
230,positive,chết cười 🤣 🤣 🤣
231,positive,ka ka 😆 😆 😆 😆 😆 😆
232,positive,gái quên đau sợ hjjj
233,positive,.
234,positive,chết cười nụ cười sơn
235,positive,e thế 🤣
236,positive,🤣 🤣 🤣 🤣 🤣 cười chảy nước mắt kkkkk
237,positive,hài
238,positive,kim lỳ 🐃 ❤ 🐎 😂 😂 😂 😂 😂
239,positive,ngọc mồm 2
240,positive,😁 cười rung rốn
241,positive,ko tả đc
242,positive,ý nghĩa sâu đất
243,positive,"câu đơn giản , hài"
244,positive,cười đau ruột
245,positive,đau lòng 😂 😂
246,positive,cười ko nhặt đc mồm
247,positive,hài vãi
248,positive,cười đau ruột
249,positive,chết cười 😂 🥰 🥰
250,positive,"cường ae , 2 nét"
251,positive,cười vỡ bụng 🤣 🤣 🤣 🤣 🤣
252,positive,🤣 .. lạy cụ 🙏 🙏
253,positive,quên đau kkk
254,positive,sơn đứng hình 5 s 😂 😂 😂
255,positive,😂 😂 😂 😂 😂 😂 chết cười 2 .
256,positive,chết cười
257,positive,🤣 🤣 🤣 lun 🤣 🤣
258,positive,cười đau bụng
259,positive,cười đau rọt 2 diễn hài ni 🤣 🤣 🤣
260,positive,cười ẻ 😂
261,positive,t bây
262,positive,cười ngậm mồm 2
263,positive,😂 😂 cười chết
264,positive,sợ
265,positive,:))))
266,positive,sợ :))
267,positive,🤣
268,positive,hai vãi
269,positive,cười xỉu 🤣
270,positive,hồn =))
271,positive,cíu 😂 😂
272,positive,😂 😂 😂 😂 😂 hảo 😂
273,positive,chết cười =))
274,positive,salim xinh đi thoyyyyy
275,positive,bộ đồ hãng mách tui
276,positive,pam ko lườm phóng viên 🤣
277,positive,salim đẹp ghe
278,positive,salim đẹp đuyyyy
279,positive,trừi ưi cổ cánh :)))
280,positive,"rõ ràng đọc "" mẹ vắng siêu nhân "" đầu văng vẳng "" mẹ vắng pam siêu nhân "" 😂 😂"
281,positive,chời c salim xinh ghê 🥰
282,positive,c salim xinh qué trog video pam lu mờ lunnnnnn
283,positive,troi oi salim xinh quáaaaaaaaa
284,positive,cánh vướn tầm uấy 🤣
285,positive,mẹ salim pam xinh 🥰
286,positive,salim xinh
287,positive,salim xinh . lén trời xinhhhh . mê
288,positive,đoạn đầu mẹ ả ta nét châu tấn trời
289,positive,gái trông mòn mắt 🥰 salim bé pam xinh yêu
290,positive,cổ đeo cánh xinhhh thiệt
291,positive,trờiii c salim xinhh
292,positive,xinh
293,positive,crying over you mẹ pam nữ mv
294,positive,salim mặc đầm quấn chăn tui bả siêu đẹp 🥹 🥹
295,positive,salim xinh lắm 🥰
296,positive,t salim í 🥺 🥺 xinh qá
297,positive,pam nổi salim gòi 😆
298,positive,cổ đẹp gái mẹ cổ xinhh vữ nuaaaaaa 😭 😭
299,positive,salim xinh
300,positive,salim góc nì net hao hao châu
301,positive,pam ngoan cưng . đồ mặc . 12 m mặc 😭
302,positive,ước đx vợ ntn ý
303,positive,miệng c salim xinh .
304,positive,mẹ salim cực phẩm sinh pam cực yêu
305,positive,xinh qa
306,positive,tiên bả lườm làm phép
307,positive,hai má ấyy 🥰 🥰
308,positive,salim xinh qá đi
309,positive,salim xinh quaaa
310,positive,tui clip chéo 2 ngón hôm qua 🤣
311,positive,mẹ saluym xinhhhh 😁
312,positive,salin xinh dữ trời
313,positive,salim mẹ bé pam hả mn
314,positive,cưng xỉu lun ce
315,positive,mê mẹ pam pam 😭
316,positive,mê mẹ pam 😂
317,positive,salim đẹp ghê
318,positive,palm ngủ dậy 😁
319,positive,salim xinh huhu
320,positive,yêu mẹ
321,positive,tiên ăng ten
322,positive,cánh đẹp
323,positive,bé nỗi tiếng mn
324,positive,dễ thương
325,positive,tr cổ xinh cổ diệuuu keooo
326,positive,trời tiên tử tuiii
327,positive,chòi oiiiii cục cưng
328,positive,elm xinh
329,positive,siêu phẩm mẹ pam
330,positive,cổ xinh
331,positive,"vô cmt toàn khen cổ mẹ cổ , hông nhắc cổ lun á chèn 😂"
332,positive,nét salim dã man
333,positive,xinh qa
334,positive,ẻm hair style 🥰
335,positive,pamm huôngg xỉu
336,positive,xinh
337,positive,"idol tui show , fanmeeting , họp báo , học . áp lực đỉnh lưu 🥰"
338,positive,top top chìu toàn ẻmmm
339,positive,bé dễ thương
340,positive,mẹ lim zới elm pam xinh yêu
341,positive,ả ta cinhhh
342,positive,né . pam kal
343,positive,cổ thiên thần đồ 😍
344,positive,elm ngại xíu xiu chuyên nghiệp nha 🥰
345,positive,chời mẹ salymmm xinh lunn
346,positive,lim đẻ xong đẹp xưa saooo
347,positive,mạnh dạn . khóc tí 🥰
348,positive,xỉu vẻ đẹp hiệp suỹ 😭
349,positive,xinkkk
350,positive,ciin
351,positive,pam buồn ngủ r 😂
352,positive,mẹ ả ta xinh chời
353,positive,cổ tiên nữ 🧚 🏻 ‍ ♀ ️
354,positive,elm xinkk thí
355,positive,"eo , ẻm xinh , ẻm ngại lạ yêu 🥰"
356,positive,ôi cổ cánh gậy phép thuật nữâaa . cổ nàng tiên 💗
357,positive,cổ ngại
358,positive,ánh mắt phán xét hahaa
359,positive,thương xỉu bây
360,positive,đầu sự kiện . chúc mãi xinh ngoan iu .
361,positive,mũi xinh xĩu lun
362,positive,nàng tiên xinh
363,positive,elm ngại
364,positive,💓 💓 💓 pam pam 💓 💓 💓
365,positive,iuuuuuu
366,positive,thiên thần vai cánhhh
367,positive,thiênnn thầnnn
368,positive,troi oi
369,positive,toyyy xỉu
370,positive,aaaaaa cưng
371,positive,ngoan xinh iu
372,positive,mũi pam cao nha
373,positive,xinh qá
374,positive,elm điệuuuuu
375,positive,cổ iuuuu
376,positive,vía pam gái e
377,positive,tui 180 phút
378,positive,xinh iuu rồiii
379,positive,faiceb00k kim đoàn tiến phong . a giúp minh trúng sô đề xong 600 tr nợ roi nè 🥰 🥰 🥰 ok ạhh
380,positive,faiceb00k kim đoàn tiến phong . a giúp minh trúng sô đề xong 600 tr nợ roi nè 🥰 🥰 nha
381,positive,ôi trời cổ mẹ cổ xinhh yêuui qá 🥺
382,positive,cưng vãi ò
383,positive,tr xinh iuuu
384,positive,xinh yêu 😘 🥰
385,positive,elm ngủ dậy
386,positive,cưng
387,positive,cổ mệch nhìu dự án
388,positive,cổ sịt keoo
389,positive,cổ vs ánh mắt phán xét
390,positive,trời thiên thần
391,positive,xinh chéeee
392,positive,thưn cáaaaaa
393,positive,ngắm mãi
394,positive,ánh mắt dè chừng cổ
395,positive,xĩu mấtttttttt pam oiii 😻
396,positive,mê
397,positive,pammm iuuu 😚
398,positive,iu elmmmmmmm
399,positive,hai thiên thần hạ phàm ❤ ️
400,positive,"dứa ☆ : . ｡ . o ( ≧ ▽ ≦ ) o . ｡ . : ☆ salim xinh quãiiii , pam hnhu ngủ dậy …"
401,positive,neuvieme ó dồi ôi outfit cổ kìa 😍
402,positive,còi trưởng thành xinh yeu quaaaa
403,positive,pamyeuoi 💕 💕 💕
404,positive,ảnh pam chùm mềm dthw lắm lunn
405,positive,ngoan xinh mẹ đâu ròi 🥰 🥰
406,positive,tui ảnh pam đc ko tui ko
407,positive,: tim hộ video đc xin lỗi
408,positive,tui ko thấm nổi pam
409,positive,pam bt ước đc véo má thuuu 😳
410,positive,ảnh đầu ☺ ️
411,positive,ngoan xinh yêu mẹ
412,positive,vô tri dị
413,positive,video nha
414,positive,mong pam rep nè 🥰
415,positive,ko bk pam 😁
416,positive,pam iu oi
417,positive,ngoan xinh yêu mẹ rồii
418,positive,ảnh 2 lượt ảnh ảnh 2 pam cuti qué ( mong rep )
419,positive,3.1 b pam yêu r
420,positive,pam yêu
421,positive,ngoan xinh yêu mẹ
422,positive,xinh ngoan iu mẹ òi 🌷 🌷
423,positive,dễ thương ii
424,positive,tim video hộ phiền bạn xin lỗi . chúc fl
425,positive,❤ đồ 😆 xíu gửi ảnh dùm
426,positive,pam dthw vãi oh
427,positive,...
428,positive,yêu ik
429,positive,ngọc 🌷 dễ thương
430,positive,gió ko
431,positive,mấy mẫu nhìu tim zay tui mẫu toàn mười mấy tim 😢
432,positive,t fan 2 pam vs bt kênh thiên ân 🇫 🇷 🇻 🇳 coi thử
433,positive,thành nek ko e
434,positive,pamyeuoi 💞
435,positive,cặc pam
436,positive,xinh pam ưi
437,positive,mẹ salim rước chể pam ko khóc
438,positive,ko bt pam ko
439,positive,elm chuche qué
440,positive,pam khuôn mặt :) ( ( ♥ ️
441,positive,quạt pam
442,positive,pam cưng xĩu
443,positive,bt chàng trai may mắn cưới đc elm ☺ ️ ☺ ️ ☺ ️
444,positive,pam dthw v mak nổiii 😩
445,positive,uiii má elm
446,positive,t 1 pam
447,positive,má oii ảnh đầu dth caaa 🙈
448,positive,trời xỉu
449,positive,ngoan xinh yêu mẹ rùi
450,positive,pam dịu dàng chân phương 🤣
451,positive,lm flop huhu
452,positive,cx lm flop
453,positive,pam cx bth
454,positive,đường đẹp
455,positive,cuteeeeeeeeee
456,positive,"tiktok t mấy tuần lướt "" pam yêu """
457,positive,khen khúc hồn :)))
458,positive,pam cute zọ 😘 💞 🌷
459,positive,avata
460,positive,pam dịu dàng chân phương
461,positive,pam dễ thương
462,positive,cưng xỉu
463,positive,tim hộ video video ghim đc xin lỗi
464,positive,ko tim 🥺
465,positive,t ý lườm 😁
466,positive,t 1 ảnh pam đc ko
467,positive,pam yêu
468,positive,đi ámẹ tuệ mẫn shop tiên tiên 😳 😳 đi đi 😌
469,positive,iu iu iu qam
470,positive,pam xink cáaa
471,positive,iu wa
472,positive,hộ mik 5 vd đc ko .
473,positive,pam
474,positive,má cưng ghê á trời 😳
475,positive,kiều ngọc ❤ ️ ‍ 🔥 pam dễ thương vãi
476,positive,elm pam pé siêu cute 😍 🥰 🥰
477,positive,dth qá ik thui 🥰
478,positive,ngắm pam tim tui yếu mềm ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️
479,positive,tim hộ 1 video
480,positive,pam yêu vãi 💕 💕 💕
481,positive,ỏ cute zậy
482,positive,chuche vãi
483,positive,dth đi
484,positive,pam cuti 😳 😳 ❤ ️ ❤ ️
485,positive,mê elm
486,positive,cute
487,positive,dth
488,positive,ỏ
489,positive,mê nhạc thui
490,positive,b.nqocc : > khong bangg 😆
491,positive,kkkkkk yêu
492,positive,hi
493,positive,xinh
494,positive,dễ thương
495,positive,💕 k 🙈 🥰
496,positive,iu 🤭
497,positive,pam cute
498,positive,pam iu
499,positive,kute
500,positive,xuất sắc 😁
501,positive,thành tâm xin vía bé yêu cười
502,positive,thành tâm xin vía bé yêu khỏe phát triển <someone> chào đời 🥰 🥰 🥰
503,positive,thành tâm xin vía
504,positive,♚ 𝕊ơ𝕟 𝕂𝕒𓂀 ᬁ cưng xĩu 😍
505,positive,nguyễn văn chính cưng đi
506,positive,trộm vía bé bụi bẩm yêu bụng
507,positive,iu
508,positive,đổi 👾 ôi dễ thương 😁 😁
509,positive,áaaaaaaaaa cute
510,positive,vía
511,positive,thành tâm xin vía khỏe yêu
512,positive,<someone> 🌷 cute
513,positive,thành tâm xin vía ebe khỏe phát triển chào đời 🥰 🥰
514,positive,trời 🤭
515,positive,thành tâm xin vía bé bụ bẫm
516,positive,cute xinh xinh
517,positive,vía bé yêu bụng
518,positive,vía bé rồng bụ bẫm iu
519,positive,"cứu tui cứu tuii , con bé iu"
520,positive,trv yêu 🥰
521,positive,🥰 iu ik
522,positive,yêu wa đi
523,positive,thu bui lũ trẻ con iu nher
524,positive,thành tâm xin vía bụng pé mũm mĩm 🥰 🥰
525,positive,vía bụng bé gái yêu ❤ ️
526,positive,vía 🥰 🥰
527,positive,tiên ỏ 🥰 🥰
528,positive,tâm nguyễn922 cute phết 😆 😆
529,positive,trvia yêu
530,positive,hoàng 🥰 chuche
531,positive,tiền - . - ngáo 😉 iu á 🤭
532,positive,ghiền hum vợ
533,positive,nguyên nè xỉuu
534,positive,thành tâm xin vía bé yêu bụ bẫm mũi cao mắt to da trắng khỏe bụng
535,positive,vía
536,positive,pk kím cục đc 📸 κᴇм ᴘʟus √ 🇻 🇳 😂
537,positive,quân cưngg was đii 🥺 🤪
538,positive,hiến dr xĩuuuu 😚
539,positive,nguyễn cưng ❤ ️
540,positive,thành tâm xin vía bé yêu khỏe ngoan ngoãn
541,positive,thần sầu mong đx 1 đứa
542,positive,thái nguyễn nhàm đứa hem 🙄 🥲
543,positive,"e xin vía khỏe , bụ bẫm , iu 🥰"
544,positive,thinh doremon cưng waaa be
545,positive,hà my lm đứa bé iu ❤
546,positive,xin vía bé yêu bụ bẫm ❤ ️
547,positive,thành tâm xin vía bé ❤ ️
548,positive,nguyễn hữu lộc hello
549,positive,hà thương22 cưngg đi hai
550,positive,lợin ❤ ️ cưng 😘
551,positive,trô mắm ui 😊
552,positive,long nguyễn xin vía đi . 🤣
553,positive,fb . văn hòa hahha
554,positive,my nhung tran vía y
555,positive,mk link bộ đồ kia ko
556,positive,thu quế cuti 🙊 de thương
557,positive,bắt bé nuôi 😍
558,positive,bộ đồ mua
559,positive,set k shop
560,positive,:)) cute vãi ck 🥰 😍 😍
561,positive,dkhang 🐟 coi đỡ nhe 🙄
562,positive,𝕍𝕒 ̆ 𝕟 𝕋𝕙𝕖 ̂ ́ 🐥 mua ken đi 😂
563,positive,vía bé cưng bụng ❤ ️ 🥰
564,positive,mua nhỉ ❤ ️
565,positive,bé mít ❤ ️ doi cute a
566,positive,hưng 💤 dễ thương 😇
567,positive,cưng ah ha 🥰 🥰
568,positive,tuấn thanh lê mún
569,positive,anhtuan 🐣 dangiu gheeee
570,positive,gia huy hơi cute dam t . thuy huong
571,positive,nguyễn khánh khang cưng chưaaaa
572,positive,vía bé yêu bụng
573,positive,quôc ghê
574,positive,pham vũ duy cute 🙄 🙄 😝
575,positive,thành tâm xin vía bé khỏe ngoan ngủ ngoan
576,positive,vĩ híp 〽 ️ mê lắm ý 😍 😍
577,positive,vía bé yêu bụng
578,positive,hiếu làng liều 🦁 cưnggg waaaa 😾
579,positive,thành tâm xin vía bé khỏe yêu bụng thai kỳ 🥰
580,positive,bé cưng
581,positive,vía bé
582,positive,vía bé khỏe
583,positive,"thành tâm xin vía bé yêu bụng , tổ an toàn"
584,positive,oh cuteee
585,positive,vía bé bụ bẫm yêu bụng
586,positive,thành tâm xi vía bụng
587,positive,iu iem
588,positive,vía mắt đẹp zai mẹ .
589,positive,thành tâm xin vía đón yêu phúng phính
590,positive,thành tâm xin vía e bé yêu bụ bẫm thai kỳ khỏe bụng ❤ ️
591,positive,huỳnh thanh tú nhặt bò tùm lum
592,positive,vía ebe khỏe phát triển bụ bẫm
593,positive,thành tâm xin vía bé bụi bậm yêu
594,positive,vía yêu bụ bẫm iu
595,positive,"thành tâm xin vía bé khỏe , mắt 2 mí , môi xinh , mũi xinh bỏ bụng 🥰 🥰"
596,positive,thành tâm xin vía bé iu bụng 🥰
597,positive,vía bé khỏe
598,positive,trộm vía bé trai 🍀
599,positive,"thành tâm xin vía e bé khỏe , phát triển bình thường , bụ bẫm bụng"
600,positive,thành tâm vía
601,positive,cưng
602,positive,cưng đi thôy
603,positive,thành tâm xin vía bé yêu bụng
604,positive,vía e bé yêu khỏe
605,positive,thành tâm xin vía bé bụ bẫm yêu
606,positive,vía 🤭
607,positive,vía bé trai khỏe bụ bẫm yêu ♥ ️
608,positive,genz mẹ 😂
609,positive,hợp tác giỏi 😂
610,positive,kiểu : thoiii mẹ già :))
611,positive,🌷 cute 😍
612,positive,bé dễ thương
613,positive,bé cưng 🥰 🥰
614,positive,bé cute qá 😍 😍
615,positive,mẻ cưng trời hà
616,positive,xu hướng
617,positive,cưng xỉu 🙂
618,positive,ui bé cưng nạ ❤ ️
619,positive,cute trời ❤
620,positive,hien le hai min nè hai 😂
621,positive,nguyễn thu uyên quay liền
622,positive,1 bé dể thương
623,positive,cưng 😂
624,positive,𝕊𝕠𝕝𝕚𝕥𝕦𝕕𝕖 su trend
625,positive,ko đẻ cgai đời ko nể 😁
626,positive,nhạc ỏe ta huhu
627,positive,tao mimi èo cutie
628,positive,cưng ghê
629,positive,chậm thui pà zà :))) tui chạy ko kịp 😂
630,positive,phương tuấn n ieoo vãi
631,positive,🙉 ❤ ️ cuteeee
632,positive,😂 😂 😂 hahaa chời . bé cưg ghê :))) . vanky1991 đẻ gái thùy mị kkk
633,positive,yendan2407 rủ đan nhảy đi 😂 😂
634,positive,trịu viu gồi kìa
635,positive,đấy 😂 🤣 🤣 🤣
636,positive,cưng dạ
637,positive,😅
638,positive,cute 😂
639,positive,"nhảy miếng cơm , hộp sữa 😅"
640,positive,xu hướng việt nam 🇻 🇳 🇻 🇳 🇻 🇳 🇻 🇳
641,positive,yêu 😍 😍
642,positive,trời cưng 🤣
643,positive,iu z tr 🥰
644,positive,cute
645,positive,cưng xỉu დ
646,positive,thuy lam dth vảiii
647,positive,bả chạy k kịp kìa . cưng xỉu 🥰
648,positive,tuyết ánh cuti vãiiiu
649,positive,dễ thương 😂 😂
650,positive,cưng chời cưng 🥰
651,positive,<someone> 🦚 bơ liền
652,positive,mai xoài đi :)))
653,positive,iu 😂
654,positive,cưng trend
655,positive,í ẹc đăng ỉn đi trang 🤣
656,positive,de thương
657,positive,nhiệt tình catxe đk hộp sữa 😁
658,positive,vữngthanh 🫶 tren bắp kkk
659,positive,😂 😂
660,positive,😂 cg mún cn gái
661,positive,love¹⁵ ࿐ 🥺 🤣 wa sin sỉ 🤣 🤣 🤣 🤣
662,positive,sa lim hóng video gia đình sứ a
663,positive,phng_uyn m lm j 😂
664,positive,bé cutii qué 🥰
665,positive,đỉnh trend 😘 😘
666,positive,cưng
667,positive,kiểu cay
668,positive,dthw
669,positive,vy 🌷 cưng m ha
670,positive,cutiii z nổi : 3
671,positive,e bé cưng
672,positive,2 mẹ con kute
673,positive,trời cưng hôm
674,positive,lưu 3 😂
675,positive,khanh loan cute vãi
676,positive,😂 😂 😂 😂 😂 cute
677,positive,loannguyenkt95 xu nhảy nè c
678,positive,dieudiudang đu trend mỡ nè haha
679,positive,kang yi 👀 con bé nhảy đẹp tuiiii =))))
680,positive,haha cưng 🥰 🥰 🥰 🥰
681,positive,cưng trời
682,positive,su su11091 su trend đi 😂
683,positive,rung rinh
684,positive,17 . th11 🙈
685,positive,khong bangg 😆
686,positive,후엔 💕 k 🙈 🥰
687,positive,đỗ 3 đổi 👾 ôi dễ thương 😁 😁
688,positive,tranhdzs1cute xinh xinh
689,positive,điểu thảo741 đẻ đi
690,positive,đnt cứu tui cứu tuii
691,positive,côngg sơnn bố 🥺
692,positive,hiền đú
